  PID TTY          TIME CMD
    1 ?        00:00:01 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    6 ?        00:00:00 kworker/u2:0
    7 ?        00:00:00 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:00 migration/0
   10 ?        00:00:00 watchdog/0
   11 ?        00:00:00 khelper
   12 ?        00:00:00 kdevtmpfs
   13 ?        00:00:00 netns
   14 ?        00:00:00 khungtaskd
   15 ?        00:00:00 writeback
   16 ?        00:00:00 ksmd
   17 ?        00:00:00 khugepaged
   18 ?        00:00:00 crypto
   19 ?        00:00:00 kintegrityd
   20 ?        00:00:00 bioset
   21 ?        00:00:00 kblockd
   23 ?        00:00:00 kswapd0
   24 ?        00:00:00 vmstat
   25 ?        00:00:00 fsnotify_mark
   31 ?        00:00:00 kthrotld
   32 ?        00:00:00 ipv6_addrconf
   33 ?        00:00:00 deferwq
   67 ?        00:00:00 khubd
   68 ?        00:00:00 ata_sff
   69 ?        00:00:00 ttm_swap
   70 ?        00:00:00 kpsmoused
   73 ?        00:00:00 scsi_eh_0
   74 ?        00:00:00 scsi_tmf_0
   75 ?        00:00:00 scsi_eh_1
   76 ?        00:00:00 kworker/u2:2
   77 ?        00:00:00 scsi_tmf_1
   78 ?        00:00:00 scsi_eh_2
   79 ?        00:00:00 scsi_tmf_2
   84 ?        00:00:00 kworker/0:1H
  114 ?        00:00:00 jbd2/sda1-8
  115 ?        00:00:00 ext4-rsv-conver
  149 ?        00:00:00 kauditd
  160 ?        00:00:00 systemd-journal
  171 ?        00:00:00 systemd-udevd
  495 ?        00:00:00 cron
  497 ?        00:00:00 systemd-logind
  501 ?        00:00:00 avahi-daemon
  502 ?        00:00:00 dbus-daemon
  513 ?        00:00:00 cfg80211
  515 ?        00:00:00 dhcpcd
  527 ?        00:00:00 avahi-daemon
  529 ?        00:00:00 thd
  547 ?        00:00:00 rsyslogd
  548 ?        00:00:00 acpid
  549 ?        00:00:00 sshd
  561 ?        00:00:00 lightdm
  567 tty1     00:00:00 login
  576 ?        00:00:00 ntpd
  577 ?        00:00:00 ntpd
  580 tty7     00:00:04 Xorg
  585 ?        00:00:00 systemd
  587 ?        00:00:00 (sd-pam)
  589 tty1     00:00:00 bash
  613 ?        00:00:00 lightdm
  618 ?        00:00:00 lxsession
  651 ?        00:00:00 ssh-agent
  654 ?        00:00:00 dbus-launch
  655 ?        00:00:00 dbus-daemon
  661 ?        00:00:00 gvfsd
  665 ?        00:00:00 gvfsd-fuse
  675 ?        00:00:00 openbox
  679 ?        00:00:00 lxpolkit
  681 ?        00:00:06 lxpanel
  682 ?        00:00:02 pcmanfm
  689 ?        00:00:00 ssh-agent
  700 ?        00:00:00 polkitd
  710 ?        00:00:00 gvfs-udisks2-vo
  720 ?        00:00:00 udisksd
  729 ?        00:00:00 rtkit-daemon
  734 ?        00:00:00 gvfs-mtp-volume
  740 ?        00:00:00 gvfs-afc-volume
  743 ?        00:00:00 bluetoothd
  748 ?        00:00:00 gvfs-gphoto2-vo
  757 ?        00:00:00 gvfs-goa-volume
  761 ?        00:00:00 start-pulseaudi
  763 ?        00:00:00 xprop
  768 ?        00:00:00 menu-cached
  802 ?        00:00:00 gvfsd-trash
 1068 ?        00:00:00 gvfsd-metadata
 1528 ?        00:00:00 kworker/0:0
 1555 ?        00:00:00 kworker/0:2
 1564 ?        00:00:00 kworker/0:1
 1565 ?        00:00:00 sshd
 1567 ?        00:00:00 sshd
 1568 pts/0    00:00:00 bash
 1586 pts/0    00:00:00 script
 1587 pts/0    00:00:00 script
 1588 pts/1    00:00:00 bash
 1607 pts/1    00:00:00 ps
