  PID TTY      STAT   TIME COMMAND
  585 ?        Ss     0:00 /lib/systemd/systemd --user
  587 ?        S      0:00 (sd-pam)         
  589 tty1     S+     0:00 -bash
  618 ?        Ssl    0:00 /usr/bin/lxsession -s LXDE-pi -e LXDE
  651 ?        Ss     0:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session x-session-manager
  654 ?        S      0:00 /usr/bin/dbus-launch --exit-with-session x-session-manager
  655 ?        Ss     0:00 /usr/bin/dbus-daemon --fork --print-pid 4 --print-address 6 --session
  661 ?        Sl     0:00 /usr/lib/gvfs/gvfsd
  665 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
  675 ?        S      0:00 openbox --config-file /home/pi/.config/openbox/lxde-pi-rc.xml
  679 ?        Sl     0:00 lxpolkit
  681 ?        Sl     0:06 lxpanel --profile LXDE-pi
  682 ?        Sl     0:02 pcmanfm --desktop --profile LXDE-pi
  689 ?        Ss     0:00 /usr/bin/ssh-agent -s
  710 ?        Sl     0:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
  734 ?        Sl     0:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
  740 ?        Sl     0:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
  748 ?        Sl     0:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
  757 ?        Sl     0:00 /usr/lib/gvfs/gvfs-goa-volume-monitor
  761 ?        S      0:00 /bin/sh /usr/bin/start-pulseaudio-x11
  763 ?        S      0:00 /usr/bin/xprop -root -spy
  768 ?        Ssl    0:00 /usr/lib/menu-cache/menu-cached /tmp/.menu-cached-:0-pi
  802 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.1 /org/gtk/gvfs/exec_spaw/0
 1068 ?        Sl     0:00 /usr/lib/gvfs/gvfsd-metadata
 1567 ?        S      0:00 sshd: pi@pts/0      
 1568 pts/0    Ss     0:00 -bash
 1586 pts/0    S+     0:00 script task7romanenkova13r -ttimelog7romanenkova13r.txt
 1587 pts/0    S+     0:00 script task7romanenkova13r -ttimelog7romanenkova13r.txt
 1588 pts/1    Ss     0:00 bash -i
 1611 pts/1    R+     0:00 ps -x
